371,KMRT|OTC|US
371,SHLD|OTC|US
371,SHLDQ|OTC|US
372,GE|NYS|US
373,AIG|NYS|US
375,ALL|NYS|US
376,CCI|NYS|US
376,C|NYS|US
378,HD|NYS|US
379,CVX|NYS|US
381,BAC|NYS|US
382,CMB|NYS|US
382,JPM|NYS|US
383,UNH|NYS|US
385,TYC|NYS|US
385,JCI|NYS|US
386,DELL|NAS|US
386,DVMTV|NYS|US
386,DVMT|NYS|US
386,DELL.WI|NYS|US
386,DELL|NYS|US
387,HWP|NYS|US
387,HPQ|NYS|US
388,HON|NAS|US
389,JNJ|NYS|US
390,MRK|NYS|US
391,WLP|NYS|US
391,ANTM|NYS|US
391,ELV|NYS|US
392,PG|NYS|US
393,EVER|NYS|US
394,GM|NYS|US
395,WY|NYS|US
396,SITE|NYS|US
397,DWDP|NYS|US
397,DD|NYS|US
398,DOW|NYS|US
398,DWDP|NYS|US
403,TJX|NYS|US
404,IKN|NYS|US
404,7752|TKS|JP
409,CSCO|NAS|US
410,WB|NYS|US
410,WFC|NYS|US
411,REY|NYS|US
412,GLIBA|NAS|US
412,LBRDK|NAS|US
413,BNE|NYS|US
413,RRD|NYS|US
413,RRD.WI|NYS|US
415,WHR|NYS|US
416,SBUX|NAS|US
417,F|NYS|US
418,LUV|NYS|US
420,SAI|NYS|US
420,SAIC.WI|NYS|US
420,SAIC|NYS|US
421,NOC|NYS|US
422,HAL|NYS|US
424,CDN|NAS|US
424,CDNS|NAS|US
425,CA|NAS|US
425,AVGO|NAS|US
426,CME|NAS|US
429,GHL|TRN|TT
431,NSM|NYS|US
431,TXN|NAS|US
432,CMCSA|NAS|US
439,ABM|NYS|US
440,BZH|NYS|US
442,JNPR|NYS|US
443,MSY|LON|GB
444,PCAR|NAS|US
445,7752|TKS|JP
446,ROG|SWX|CH
448,SYBS|NYS|US
448,SY|NYS|US
448,SAP|ETR|DE
453,A.XX1|TSE|CA
453,ABH.WI|NYS|US
453,ABH|NYS|US
453,RFP|NYS|US
454,ASO|NAS|US
455,ATVI|NAS|US
455,ATVID|NAS|US
